City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,plettenberg bay,-34.0527,23.3716,294.63,68,36,2.35,ZA,1669746389
323,det udom,14.906,105.0784,298.05,76,51,1.82,TH,1669746389
324,tuatapere,-46.1333,167.6833,284.08,94,99,0.63,NZ,1669746390
325,leninsk,48.7119,45.1994,269.49,49,5,4.27,RU,1669746391
326,burns lake,54.2331,-125.7533,257.83,72,100,1.96,CA,1669746312
327,umm lajj,25.0213,37.2685,298.52,63,3,4.76,SA,1669746392
328,lagoa,39.05,-27.9833,290.18,87,89,5.8,PT,1669746393
329,kuznechnoye,61.12,29.8686,271.19,93,99,1.9,RU,1669746394
330,portland,45.5234,-122.6762,277.64,92,100,2.68,US,1669746067
331,mastung,29.7994,66.845,282.69,32,0,1.65,PK,1669746395
332,bowen,-20.0167,148.2333,298.12,86,99,2.84,AU,1669746395
333,emba,48.8264,58.1442,265.66,51,100,6.47,KZ,1669746396
334,nuuk,64.1835,-51.7216,272.49,86,75,3.09,GL,1669746397
335,nowy sacz,49.6218,20.6971,274.36,88,17,1.44,PL,1669746397
336,rio grande,-32.035,-52.0986,301.21,66,13,7.28,BR,1669746398
337,churapcha,62.0025,132.4325,234.27,98,100,1.55,RU,1669746400
338,baoshan,46.5586,131.4244,257.89,71,70,7.76,CN,1669746400
339,kalmunai,7.4167,81.8167,297.75,78,63,2.7,LK,1669746401
340,tambura,5.6,27.4667,299.63,53,100,2.96,SS,1669746401
341,gizo,-8.103,156.8419,300.57,77,100,1.3,SB,1669746402
342,sabya,17.1495,42.6254,300.94,68,0,1.3,SA,1669746403
343,sechura,-5.5569,-80.8222,298.41,61,57,6.82,PE,1669746403
344,rio gallegos,-51.6226,-69.2181,287.18,26,40,15.43,AR,1669746404
345,sabang,5.8933,95.3214,300.46,74,95,1.86,ID,1669746405
346,puerto narino,-3.7703,-70.3831,302.06,67,71,1.58,CO,1669746405
347,alofi,-19.0595,-169.9187,298.09,83,88,3.09,NU,1669746406
348,binzhou,37.3667,118.0167,267.18,27,34,4.62,CN,1669746407
349,balkhash,46.844,74.9804,263.18,54,100,7.93,KZ,1669746407
350,black river,18.0264,-77.8487,302.18,60,10,3.61,JM,1669746408
351,karacakoy,41.4029,28.3834,287.41,86,99,5.58,TR,1669746409
352,athmallik,20.7219,84.5348,291.49,69,4,0.28,IN,1669746409
353,klaksvik,62.2266,-6.589,278.66,86,69,3.22,FO,1669746410
354,port-gentil,-0.7193,8.7815,298.13,88,75,1.54,GA,1669746411
355,beidao,34.5686,105.8933,267.15,26,35,1.51,CN,1669746411
356,dunedin,-45.8742,170.5036,285.82,89,100,4.47,NZ,1669746365
357,odweyne,9.4092,45.064,293.23,37,0,6.51,SO,1669746413
358,eureka,40.8021,-124.1637,280.51,90,27,0.45,US,1669746244
359,stornoway,58.2093,-6.3865,281.13,95,75,2.06,GB,1669746414
360,nanakuli,21.3906,-158.1547,298.63,71,0,1.54,US,1669746414
361,san carlos de bariloche,-41.1456,-71.3082,291.01,42,40,10.29,AR,1669746415
362,pajapan,18.25,-94.7,299.24,74,88,1.64,MX,1669746415
363,kruisfontein,-34.0033,24.7314,295.31,73,85,1.79,ZA,1669746416
364,sedniv,51.6447,31.565,272.42,80,100,4.64,UA,1669746416
365,gemena,3.25,19.7667,295.46,93,46,0.98,CD,1669746417
366,quesnel,52.9999,-122.5029,257.43,78,100,0.0,CA,1669746418
367,tulum,20.2167,-87.4667,302.53,59,54,3.88,MX,1669746418
368,gold coast,-28.0,153.4333,295.47,88,100,4.63,AU,1669746419
369,kitgum,3.2783,32.8867,298.16,48,96,2.39,UG,1669746419
370,isangel,-19.55,169.2667,298.21,88,91,2.06,VU,1669746420
371,acapulco,16.8634,-99.8901,301.05,74,100,1.54,MX,1669746420
372,stabat,3.761,98.4513,298.26,95,96,1.07,ID,1669746421
373,padang,-0.9492,100.3543,297.18,86,100,0.81,ID,1669746422
374,dharchula,29.85,80.5333,286.38,28,87,2.99,IN,1669746422
375,mugumu,-1.85,34.7,290.99,83,91,1.1,TZ,1669746423
376,kumba,4.6363,9.4469,298.08,78,57,0.6,CM,1669746424
377,horki,54.2861,30.9842,269.46,92,100,4.15,BY,1669746425
378,marsa matruh,31.3525,27.2453,290.26,67,0,0.0,EG,1669746426
379,longyearbyen,78.2186,15.6401,278.06,81,75,4.12,SJ,1669746426
380,ilulissat,69.2167,-51.1,268.16,68,75,4.63,GL,1669746427
381,castro,-24.7911,-50.0119,290.68,93,100,4.22,BR,1669746427
382,coquimbo,-29.9533,-71.3436,293.0,68,75,5.14,CL,1669746428
383,ketchikan,55.3422,-131.6461,268.41,50,0,1.54,US,1669746429
384,mujiayingzi,42.1167,118.7833,256.63,33,0,4.79,CN,1669746430
385,muisne,0.6,-80.0333,298.69,73,93,4.84,EC,1669746430
386,cavalcante,-13.7975,-47.4583,298.49,68,47,3.47,BR,1669746431
387,khani,41.9563,42.9566,283.91,63,100,2.73,GE,1669746432
388,homer,59.6425,-151.5483,264.08,67,0,0.0,US,1669746433
389,golden,39.7555,-105.2211,268.76,82,100,2.68,US,1669746433
390,noumea,-22.2763,166.4572,300.37,99,83,1.08,NC,1669746434
391,puerto baquerizo moreno,-0.9,-89.6,297.7,65,75,4.12,EC,1669746435
392,priekule,56.4468,21.5897,272.77,92,100,3.52,LV,1669746436
393,yeroham,30.9872,34.9314,287.45,71,14,2.03,IL,1669746437
394,noyabrsk,63.1994,75.4507,252.49,95,100,3.22,RU,1669746437
395,sao filipe,14.8961,-24.4956,298.35,61,59,2.81,CV,1669746438
396,wyndham,37.6985,-77.6125,287.17,55,0,2.06,US,1669746439
397,iralaya,15.0,-83.2333,301.78,64,24,5.13,HN,1669746440
398,floro,61.5996,5.0328,280.35,65,75,7.2,NO,1669746440
399,ishigaki,24.3448,124.1572,296.22,100,85,1.03,JP,1669746441
400,san vicente,-26.6167,-54.1333,299.14,55,87,1.91,AR,1669746442
401,hami,42.8,93.45,261.11,21,5,2.14,CN,1669746442
402,dickinson,29.4608,-95.0513,300.46,88,100,6.69,US,1669746244
403,san quintin,30.4833,-115.95,289.85,57,50,4.54,MX,1669746444
404,hamilton,39.1834,-84.5333,289.26,65,0,6.69,US,1669746389
405,pacific grove,36.6177,-121.9166,285.05,71,0,4.02,US,1669746243
406,inhambane,-23.865,35.3833,296.14,64,20,3.09,MZ,1669746448
407,caravelas,-17.7125,-39.2481,299.09,81,89,2.41,BR,1669746449
408,atasu,48.6814,71.6433,261.6,67,100,5.64,KZ,1669746450
409,te anau,-45.4167,167.7167,282.6,94,96,0.62,NZ,1669746450
410,methoni,36.8197,21.7049,287.16,67,42,8.72,GR,1669746451
411,oranjemund,-28.55,16.4333,291.35,79,52,3.04,NA,1669746452
412,saint peter,13.25,-59.6167,298.46,75,15,7.7,BB,1669746452
413,ratnagiri,16.9833,73.3,297.85,75,35,2.26,IN,1669746231
414,high level,58.5169,-117.136,251.21,77,75,6.17,CA,1669746453
